Epoch,Train_Loss,Test_Loss,Test_Accuracy
1,4.2821565437316895,2.3029503846168518,0.1
2,2.340895299911499,2.302820043563843,0.1
3,2.302745909690857,2.302592899799347,0.1
4,2.302627234458923,2.302587265968323,0.1
5,2.302693314552307,2.302587852478027,0.1
6,2.3027464771270747,2.302586803436279,0.1
7,2.302516150474548,2.3025874853134156,0.1
8,2.302589735984802,2.302590970993042,0.1
9,2.302649168968201,2.3025942707061766,0.1
10,2.302723588943482,2.302589273452759,0.1
11,2.302691226005554,2.302589852809906,0.1
12,2.3026705980300908,2.302592406272888,0.1
