Epoch,Train_Loss,Test_Loss,Test_Accuracy
1,6.607972855567931,2.3034428191184997,0.1
2,2.5216282701492307,2.311835470199585,0.1
3,2.3444509029388425,2.303092260360718,0.1
4,2.3031794214248658,2.302598764896393,0.1
5,2.3028222036361696,2.3025954437255858,0.1
6,2.302955861091614,2.302591242790222,0.1
7,2.3024970531463618,2.302594563961029,0.1
8,2.3026582670211795,2.3026065826416016,0.1
9,2.302762818336487,2.302617783546448,0.1
10,2.3029084539413454,2.302601842880249,0.1
11,2.3028442525863646,2.3026020097732545,0.1
12,2.3028019142150877,2.3026118445396424,0.1
13,2.3028699254989626,2.302594563961029,0.1
14,2.302770900726318,2.3025972294807433,0.1
15,2.30283709526062,2.302604036331177,0.1
16,2.302620167732239,2.30261873960495,0.1
17,2.302832479476929,2.302593410015106,0.1
18,2.3028093194961547,2.302591927051544,0.1
19,2.3028153467178343,2.30259507894516,0.1
20,2.3026216077804564,2.302613768577576,0.1
21,2.3025572490692143,2.3026070642471312,0.1
22,2.3027116584777834,2.30260947227478,0.1
23,2.3030038499832157,2.302593626976013,0.1
24,2.3029145431518554,2.30260400056839,0.1
25,2.3028501892089848,2.3026065850257873,0.1
26,2.3026740741729737,2.302613704204559,0.1
27,2.3028673458099367,2.3025908422470094,0.1
28,2.3028041076660157,2.3025966453552247,0.1
29,2.3028145170211793,2.302591259479523,0.1
30,2.302696175575256,2.3026002478599548,0.1
31,2.3027484369277955,2.302594757080078,0.1
