Epoch,Train_Loss,Test_Loss,Test_Accuracy
1,2.3256036484241482,2.0689383935928345,0.2536
2,2.074503779411317,1.8130293190479279,0.3362
3,1.984514867663383,1.735357664823532,0.3698
4,1.9199781608581543,1.6367498695850373,0.4053
5,1.8692034083604814,1.5819766676425935,0.4228
6,1.7990933775901792,1.5153977942466736,0.4363
7,1.762314363718033,1.4611659860610962,0.461
8,1.7037587517499921,1.39647047996521,0.4857
9,1.66210991859436,1.355142902135849,0.501
10,1.6131856924295422,1.2675031042098999,0.5368
11,1.601901056170464,1.2204345512390136,0.5575
