Epoch,Train_Loss,Test_Loss,Test_Accuracy
1,5.45513417482376,2.3234956860542297,0.1017
2,2.2878031110763546,2.24190438747406,0.1357
3,2.1815662693977353,2.102374749183655,0.211
4,2.140819115638733,2.048743734359741,0.2145
5,2.0935762894153593,1.9991179025173187,0.2388
6,2.0785782980918883,1.9782114589214326,0.2499
7,2.064044495820999,1.9589231634140014,0.257
8,2.0546924710273737,1.95027641415596,0.2516
9,2.0434022164344787,1.9250570046901703,0.2699
10,2.025765001773834,1.9088130438327788,0.2695
11,2.019158174991608,1.8807813811302185,0.2833
12,1.9981309163570404,1.855226171016693,0.2987
13,1.9863142228126525,1.8213434445858,0.3251
14,1.9758816719055177,1.8059741163253784,0.3183
15,1.9602488899230956,1.8210273003578186,0.3118
16,1.9423233664035795,1.775727677345276,0.3448
17,1.9201479530334473,1.7467805826663971,0.3517
18,1.9046680045127868,1.7304496848583222,0.3605
19,1.893806176185608,1.7133750164508819,0.3658
20,1.8777145218849185,1.7227371764183044,0.3513
21,1.8682555210590366,1.6993527567386628,0.3661
22,1.8363207924365994,1.6554776966571807,0.3815
23,1.8661990749835966,1.7180055975914001,0.3561
24,1.816391850709915,1.6416805100440979,0.3841
25,1.79926939368248,1.6333059775829315,0.3876
26,1.7833911645412446,1.5890554130077361,0.4011
27,1.7775502371788026,1.582736828327179,0.4048
