Epoch,Train_Loss,Test_Loss,Test_Accuracy
1,14.604598497152327,2.3087071681022646,0.1
2,2.320459942817688,2.30425669670105,0.1
3,2.295605075359345,2.303423833847046,0.1
4,2.290000176429749,2.3029362320899964,0.1005
5,2.2865477418899536,2.292768874168396,0.113
6,2.281132906675339,2.2736469960212706,0.126
7,2.2745270586013797,2.261750819683075,0.1373
8,2.2622088181972506,2.2419718623161318,0.1459
9,2.24026424407959,2.216378664970398,0.163
10,2.2199426674842835,2.1659715080261233,0.1768
11,2.195711767673492,2.1418980741500855,0.1823
12,2.1625614452362063,2.106864743232727,0.2017
13,2.141145327091217,2.0932239401340484,0.2132
14,2.122001620531082,2.053996982574463,0.2171
15,2.1100330626964565,2.0279454553127287,0.2169
16,2.095361140966415,2.009935840368271,0.2277
17,2.092979010939598,1.9981661999225617,0.2304
18,2.0831167554855345,1.9875296211242677,0.2313
19,2.074079218506813,1.9800093638896943,0.2327
20,2.059670950770378,1.9707802951335907,0.2409
21,2.0556042766571045,1.9690410745143891,0.2404
22,2.0607964020967486,1.9580555534362794,0.2486
23,2.053176054954529,1.9497555589675903,0.2483
24,2.040610703825951,1.9426862835884093,0.2544
25,2.0491039097309116,1.9433861660957337,0.2518
26,2.0322018241882325,1.927276586294174,0.2603
27,2.033932027220726,1.9238285040855407,0.2623
28,2.140360719561577,2.0841764867305757,0.1887
29,2.2291168361902236,2.135194385051727,0.1779
30,2.0578366261720658,2.021907783746719,0.217
31,2.038770778775215,1.9612014508247375,0.2457
32,2.0218012088537214,1.9220859134197235,0.2683
33,2.0066219562292096,1.9040845775604247,0.2746
34,2.006020134687424,1.890748381614685,0.273
35,1.9981866240501405,1.8856278026103974,0.2753
36,2.001911220550537,1.8821247410774231,0.2794
37,1.989885385632515,1.8689600360393523,0.2835
38,1.9845380753278732,1.8576495552062988,0.2872
39,1.9643703722953796,1.844430651664734,0.2962
40,1.9806478071212772,1.8589562785625457,0.2909
41,1.9711934167146687,1.8480279064178466,0.302
42,1.9634123557806018,1.8301782667636872,0.3001
43,1.9570641601085665,1.8214555752277375,0.307
44,1.948680664896965,1.8205799269676208,0.3101
45,1.9406606811285019,1.8053652036190033,0.3177
46,1.9313333320617676,1.7961762344837189,0.3196
47,1.9396368700265882,1.7965570390224457,0.3217
48,1.9339680540561677,1.7854959058761597,0.3265
49,1.905665674805641,1.7719173300266267,0.3308
50,1.9063822996616362,1.7655690133571624,0.3331
51,1.9086356145143508,1.7568806529045105,0.3345
52,1.8999204534292222,1.7492046535015107,0.3415
53,1.8988197815418242,1.7431271493434906,0.3411
54,1.8927174681425094,1.7457328402996064,0.3425
55,1.8828688263893127,1.7342772841453553,0.345
56,1.8725025421380994,1.7251279091835021,0.3484
57,1.8698351234197617,1.7163024818897248,0.3469
58,1.8615636008977892,1.7103892481327057,0.3542
59,1.8737886983156204,1.7088303232192994,0.3514
60,1.8819794046878815,1.7060839653015136,0.3584
61,1.8540165877342225,1.691312084197998,0.3601
62,1.8541208350658416,1.6944357800483703,0.3566
63,1.8396103841066356,1.679884684085846,0.3672
64,1.831798774600029,1.6692490136623384,0.3715
65,1.809612113237381,1.6626551055908203,0.3713
66,1.821926531791687,1.6581499791145324,0.3739
67,1.8167711693048478,1.6517737090587616,0.3751
68,1.8200221765041351,1.6414423513412475,0.3821
69,1.81866967856884,1.642265238761902,0.3839
70,1.8129808986186984,1.635786416530609,0.3875
71,1.7964151394367218,1.629604219198227,0.388
72,1.7879100292921066,1.6251331448554993,0.3864
73,1.7748249471187592,1.6173798549175262,0.389
74,1.7750758546590806,1.6034102749824524,0.3962
75,1.775140404701233,1.6061909461021424,0.3959
76,1.772054894566536,1.6057434093952179,0.3976
77,1.7814302986860273,1.606139976978302,0.397
78,1.7604776078462603,1.5860172522068023,0.3999
79,1.7879435122013092,1.623306233882904,0.3919
80,1.8494975423812867,1.613755738735199,0.4023
