Epoch,Train_Loss,Test_Loss,Test_Accuracy
1,14.763789384365083,2.3145583868026733,0.1
2,2.3460157489776607,2.3057285809516905,0.1
3,2.3083515918254855,2.3035114121437075,0.1001
4,2.3032489097118374,2.3036591243743896,0.1008
5,2.301595215797424,2.3024270701408387,0.1056
6,2.2996339857578283,2.2984458327293398,0.1123
7,2.298065452575684,2.2971898341178894,0.1136
8,2.2944597721099855,2.292946169376373,0.1629
9,2.275187757015228,2.2656063532829283,0.183
10,2.2398665058612823,2.2024459767341615,0.1612
11,2.2095006740093233,2.1536495184898374,0.1734
12,2.1880172228813173,2.121985425949097,0.2002
13,2.181749142408371,2.1037620663642884,0.1923
14,2.171946725845337,2.095976595878601,0.1943
15,2.1519068348407746,2.073685550689697,0.2015
16,2.1492081904411315,2.064097865819931,0.2091
17,2.1402103555202485,2.059033250808716,0.2046
18,2.1350029623508453,2.044702262878418,0.198
19,2.12494918346405,2.0380014038085936,0.2133
20,2.1147898662090303,2.0282755315303804,0.2161
21,2.107927364706993,2.019897173643112,0.2117
22,2.1238200783729555,2.113981378078461,0.1672
23,2.2312701392173766,2.129602782726288,0.1646
24,2.182477665543556,2.091455533504486,0.185
25,2.189923319816589,2.045175048112869,0.2052
26,2.127340519428253,2.031195582151413,0.2072
27,2.0957388722896573,1.9981217002868652,0.2111
28,2.0737418800592424,1.9867416429519653,0.2202
29,2.0647490125894548,1.9775363337993621,0.2159
30,2.0556078481674196,1.9649098205566407,0.2249
31,2.0462424403429034,1.9556421554088592,0.2273
32,2.0510353291034695,1.9512468898296356,0.2308
