Epoch,Train_Loss,Test_Loss,Test_Accuracy
1,8.229473128318785,2.3913734579086303,0.1
2,2.560460540056229,2.3273964309692383,0.1
3,2.3291139066219335,2.308348376750946,0.1
4,2.3030829215049744,2.3037653493881227,0.1004
5,2.300433390140533,2.3006679010391236,0.1069
6,2.297362873554229,2.2960178303718566,0.1159
7,2.2938477337360386,2.2901559805870058,0.1245
8,2.2891372275352477,2.283167691230774,0.131
9,2.27551309466362,2.269319751262665,0.1542
10,2.2411667549610135,2.2129525423049925,0.1847
11,2.2165984797477725,2.158896381855011,0.1923
12,2.1778629577159885,2.1021854162216185,0.2071
13,2.1544336318969726,2.0693676328659056,0.2223
14,2.1387541377544403,2.0440244555473326,0.2185
15,2.2097433733940126,2.207371428012848,0.147
16,2.1211096292734144,2.072716031074524,0.2321
17,2.10122749209404,2.016492121219635,0.2406
18,2.0861183243989947,1.9925703966617585,0.249
19,2.0746042025089264,1.9757796394824982,0.2449
20,2.0683978319168093,1.964109878540039,0.2393
21,2.0619463294744493,1.9581538259983062,0.2553
22,2.061911307573318,1.9499518489837646,0.2609
23,2.0604407447576523,1.9465284776687621,0.2528
24,2.0582577550411223,1.9405693423748016,0.2604
25,2.0604881191253663,1.9379112124443054,0.2648
26,2.0496323108673096,1.936921558380127,0.2737
27,2.031118351817131,1.9189697813987732,0.2709
28,2.0305246692895893,1.9125025069713593,0.2782
29,2.0319909161329273,1.9116730713844299,0.2802
30,2.029538666605949,1.898749874830246,0.287
31,2.026424654722214,1.8947471940517426,0.2873
32,2.0165573155879977,1.8898750686645507,0.2848
33,2.0039437514543534,1.878608466386795,0.2934
34,1.999488426446915,1.8780076968669892,0.2884
35,2.005050739049911,1.8769510281085968,0.2973
36,2.000666483640671,1.867091153860092,0.3005
37,2.0020670115947725,1.862626383304596,0.3027
38,1.9801758700609207,1.854564107656479,0.3014
39,1.9829495888948443,1.84537815451622,0.3105
40,1.98753726541996,1.843269919157028,0.3084
41,1.974605128765106,1.834374109506607,0.3058
42,1.9744455188512802,1.8293682968616485,0.3017
43,1.9647839534282685,1.8522672629356385,0.286
44,1.9484519070386885,1.8125772404670715,0.3179
45,1.9510430943965915,1.807539428472519,0.3149
46,1.9544247335195544,1.8059695982933044,0.3128
47,1.9452427864074704,1.7947759079933165,0.3195
48,1.9331094712018966,1.7948214054107665,0.3227
