Epoch,Train_Loss,Test_Loss,Test_Accuracy
1,2.3313635361194613,2.305242156982422,0.0948
2,2.2925792396068565,2.1985612225532534,0.2203
3,2.2753946202993394,2.140382113456726,0.2561
4,2.2630889809131625,2.090684857368469,0.266
5,2.254722920060157,2.0481104278564453,0.3026
6,2.2455334609746935,2.014521325826645,0.3132
7,2.2366249489784242,1.972953006029129,0.326
8,2.2242034429311746,1.95517422914505,0.3448
9,2.219056803584098,1.9169024658203124,0.3547
10,2.209443929195404,1.9064005672931672,0.3741
11,2.200761548280716,1.8781414580345155,0.3808
12,2.193057860136032,1.873655652999878,0.3798
13,2.1872940835356713,1.8500080549716948,0.3916
14,2.175776792168617,1.845877866744995,0.3976
15,2.1702623054385186,1.8070475554466248,0.4092
16,2.156496093273163,1.779263151884079,0.4067
17,2.1479803150892254,1.81896914601326,0.4013
18,2.136008030474186,1.819680973291397,0.4056
19,2.1260705965757367,1.772752650976181,0.4038
20,2.115107455849647,1.780762380361557,0.4143
21,2.110134513676167,1.769217871427536,0.4201
22,2.0992901271581657,1.771867026090622,0.4203
23,2.0849081140756605,1.7495705342292787,0.416
24,2.0698094311356545,1.7629658734798432,0.4169
25,2.0496205830574032,1.7660462546348572,0.424
26,2.0419033095240593,1.750744618177414,0.4209
27,2.0226672732830044,1.7664877235889436,0.4306
28,2.0371265843510624,1.7654480504989625,0.437
29,2.019536060094834,1.707408628463745,0.4375
30,1.9689558812975883,1.7664420640468597,0.402
31,1.9691337707638734,1.7152957594394684,0.4154
32,1.970010921955108,1.7605778682231903,0.4286
33,1.994002899825573,1.6904583740234376,0.4336
34,1.969442299902439,1.7061233830451965,0.4368
35,1.9038841876387593,1.703201014995575,0.4141
36,1.8907494944334033,1.6855644702911377,0.4396
37,1.946954559087753,1.7586873710155486,0.4348
38,1.9359644779562946,1.7048939156532288,0.4426
39,1.8428362637758255,1.6915684473514556,0.4395
40,1.826198898851872,1.670210107564926,0.4318
41,1.8714568457007412,1.7280400955677033,0.4271
42,1.872190005481243,1.6668284583091735,0.4459
43,1.7922060966491702,1.6863516438007355,0.4343
44,1.7709214302897447,1.639681295156479,0.4296
45,1.851880937218666,1.6837005043029785,0.4347
46,1.7785212299227713,1.6629659295082093,0.428
47,1.815106998980045,1.6515213239192963,0.4466
48,1.7445158424973493,1.6655030012130738,0.4416
49,1.7547274854779253,1.6512100160121919,0.4416
50,1.7876091927289959,1.6643471109867096,0.4472
51,1.7712839251756674,1.6231226789951325,0.4517
52,1.6868262833356855,1.623943223953247,0.442
53,1.698512676656246,1.6578240954875947,0.4457
54,1.7651516771316527,1.6264111721515655,0.4569
55,1.7163657152652736,1.6579519951343535,0.4519
56,1.6333213463425633,1.6439530837535858,0.4424
57,1.6420113871991635,1.6454474484920503,0.4335
58,1.694400540590286,1.6145493161678315,0.4482
59,1.6417883533239361,1.70710196018219,0.4185
60,1.6689180344343186,1.6433420610427856,0.4435
61,1.5991783130168913,1.6372260117530824,0.4421
62,1.67445330992341,1.6380267775058746,0.453
63,1.5768052120506768,1.6913201010227203,0.4343
64,1.620990772545338,1.6587291860580444,0.4338
65,1.573149551153183,1.6404370939731598,0.4415
66,1.6768229801952834,1.6346280586719513,0.4578
67,1.5307912512123578,1.6018040227890014,0.4626
68,1.5165625780820844,1.5805982983112334,0.4755
69,1.5455835779011249,1.6131534588336944,0.4717
70,1.4501891171932217,1.5724375760555267,0.4663
71,1.5713974261283878,1.5794534075260163,0.4689
72,1.4837304355204104,1.5590310394763947,0.4708
73,1.5429532615840436,1.5720127987861634,0.4728
74,1.5158963075280187,1.5840975081920623,0.4608
75,1.4861214108765126,1.6104499983787537,0.4433
76,1.4557552911341192,1.5942225253582,0.4457
77,1.4440514288842676,1.594905571937561,0.4555
78,1.4548010213673117,1.5633629405498504,0.4817
79,1.4291444590687754,1.551186856031418,0.4778
80,1.3872166502475738,1.5283921802043914,0.488
81,1.3783795498311522,1.5513328158855437,0.4809
82,1.4491588853299624,1.5460472917556762,0.4793
83,1.358760077059269,1.5193176889419555,0.4791
84,1.4811868999898434,1.5172643947601319,0.4795
85,1.3278011851012705,1.5578607761859893,0.4767
86,1.3407238832116126,1.5118545866012574,0.4858
87,1.377753991931677,1.4976550579071044,0.4862
88,1.484342032819986,1.4718662989139557,0.4994
89,1.4751364032924177,1.5068371987342835,0.5018
90,1.3584656012058258,1.4992251908779144,0.4885
91,1.3237611278891563,1.4993892323970794,0.4883
92,1.3786961728334424,1.5174185633659363,0.4772
93,1.2927731674909593,1.515345916748047,0.4797
94,1.338583017587662,1.495963258743286,0.4985
95,1.3021293382346635,1.4450495481491088,0.5054
96,1.292313762903213,1.4674886226654054,0.483
97,1.4234572011232376,1.506513890028,0.4631
98,1.4373536247015002,1.5308153140544891,0.4701
99,1.3328360851109022,1.4919498014450072,0.4904
100,1.3482264521718024,1.4952081561088562,0.5007
101,1.2577321168035267,1.5116094696521758,0.4833
102,1.2209880488365887,1.4603118300437927,0.5035
103,1.328527231961489,1.4318268954753877,0.5093
104,1.2468444986641407,1.440796626806259,0.4899
105,1.2906996137648823,1.4731747245788573,0.5056
106,1.2627304585278032,1.50216703414917,0.4811
107,1.2660192587971688,1.5097900605201722,0.4784
108,1.2588631358742715,1.4701695430278778,0.4964
109,1.2521769373118876,1.4626454019546509,0.4961
110,1.3632710102200503,1.4496065425872802,0.5027
111,1.2618472797423599,1.4687228751182557,0.5134
112,1.19561860576272,1.4443867325782775,0.5084
113,1.172807865142822,1.50009042263031,0.473
114,1.1519805093109607,1.491641148328781,0.4691
115,1.1760441372543577,1.4293091070652009,0.5064
116,1.19844309926033,1.4218106377124786,0.5218
117,1.1552226626873017,1.414664694070816,0.5176
118,1.2608590243011712,1.4063361740112306,0.5142
119,1.1509395343810318,1.455097348690033,0.4994
120,1.157060073763132,1.447728657722473,0.4946
121,1.2054864651709791,1.4361899971961976,0.4922
122,1.2059876899421214,1.457459897994995,0.4825
123,1.2489300529658798,1.4068868196010589,0.5326
124,1.1911495791375635,1.388982456922531,0.5287
125,1.1503229011595246,1.360787305831909,0.5377
126,1.1345969170331955,1.3577455604076385,0.5365
127,1.1118990420550108,1.395106040239334,0.5144
128,1.100907577946782,1.3915649545192719,0.5244
129,1.2079425889253617,1.4305814802646637,0.5074
130,1.1162444756925107,1.389858558177948,0.5101
131,1.0962789492681622,1.402172428369522,0.5084
132,1.0787392765283585,1.3705375409126281,0.5175
133,1.1086067914962767,1.3841844630241393,0.5134
134,1.0969661778211595,1.3671613502502442,0.523
135,1.2771387838572263,1.379126170873642,0.5347
136,1.1003059870749712,1.37398002743721,0.5219
137,1.0621692974120378,1.3556865799427031,0.5318
138,1.059608893170953,1.3457343435287477,0.5343
139,1.0812451796978713,1.334652329683304,0.5377
140,1.1986293545365332,1.406055805683136,0.5288
141,1.104389618858695,1.3389918553829192,0.5455
142,1.0098018813133243,1.3523536789417268,0.551
143,1.022641499489546,1.3510087943077087,0.5408
144,1.0735305544734,1.368698354959488,0.5281
145,1.0675410582870244,1.3140910363197327,0.5468
146,1.0564906050264835,1.3456081235408783,0.5415
147,1.0439389869570737,1.3267639708518981,0.5494
148,1.0196291713416579,1.3338888132572173,0.5436
149,1.0271308020502328,1.333748699426651,0.5412
150,1.034102359637618,1.3610710716247558,0.523
151,1.0202653939276933,1.30947448015213,0.5463
152,1.0225573803484438,1.3056724047660828,0.5495
153,0.9947258292883634,1.3388640296459198,0.5381
154,0.9345624048262835,1.3087034118175507,0.5475
155,1.0009209433197976,1.3449698996543884,0.5301
156,0.9950102861970663,1.3422910976409912,0.546
157,0.9539493439719084,1.2900486040115355,0.5675
158,0.9482761885225776,1.2791639614105224,0.5521
159,0.9897830624133348,1.2712456607818603,0.5493
160,0.9931275451183318,1.3024244129657745,0.5419
161,1.1074755486100911,1.3250896167755126,0.5614
162,1.110128636434674,1.2815795135498047,0.5835
163,0.9606914221495387,1.3047578299045564,0.5645
164,0.9425825608521698,1.3246353077888489,0.5442
165,1.0035060686618091,1.2964584136009216,0.5604
166,1.0123080179467796,1.2832056605815887,0.5751
167,0.9359091355651618,1.2501599526405334,0.5841
168,0.9352251912653445,1.2617834317684173,0.5768
169,0.9253681631386279,1.2522605550289154,0.5786
170,0.9854056248068812,1.269362860918045,0.5715
171,0.947859983071685,1.2886932718753814,0.5596
172,0.9463760132342575,1.2387407076358796,0.5747
173,0.8769728287309408,1.2622887003421783,0.5684
174,0.8820475422590972,1.2239577209949493,0.5704
175,0.9159235216677187,1.242138795852661,0.5813
176,0.8337564208358529,1.2414478218555451,0.5651
177,0.907680372856557,1.2466089749336242,0.5692
178,0.9033778886497024,1.222287300825119,0.5846
179,0.9871819275990132,1.2775046694278718,0.5579
180,0.8758848226256669,1.2268844425678254,0.5899
181,0.8668686772137878,1.2410100638866424,0.5833
182,0.9124227757751943,1.2325143384933472,0.5827
183,0.8656706097722052,1.2440136682987213,0.5616
184,0.8804663296043872,1.2303729915618897,0.5663
185,0.8418735811859369,1.2322468233108521,0.5708
186,0.7944481615722179,1.2169843685626984,0.5802
187,0.9416785165667536,1.2220760190486908,0.5879
188,0.8235213123634457,1.2229264533519746,0.588
189,0.8323741813004016,1.2057528686523438,0.6066
190,0.8570061763375996,1.2172299110889435,0.5888
191,0.8933923885226248,1.1919583177566528,0.6054
192,0.8053788897395133,1.1666237419843675,0.6068
193,0.8184671893715858,1.1744955861568451,0.5951
194,0.9231927640736103,1.2082970213890076,0.5917
195,0.9042445993423461,1.2101661598682403,0.6018
196,0.791973199956119,1.1882986855506896,0.6074
197,0.8347455282136795,1.177646970152855,0.6154
198,0.8326052094995976,1.1794182932376862,0.5981
199,0.84838428594172,1.1823204392194748,0.5977
200,0.7659397813305259,1.1696808689832687,0.6053
