Epoch,Train_Loss,Test_Loss,Test_Accuracy
1,2.606655460074544,2.302685570716858,0.1
2,2.324574156403542,2.302753796577454,0.1
3,2.3177773126959798,2.2990438508987427,0.1123
4,2.306061688661576,2.2953416085243226,0.1142
5,2.30353297740221,2.287246563434601,0.1314
6,2.2991601824760433,2.288491129875183,0.1255
7,2.292594691514969,2.291261761188507,0.1182
8,2.3020523330569267,2.2810079312324523,0.1605
9,2.294691289067269,2.2706280183792114,0.1723
10,2.2950608819723124,2.2592196464538574,0.1717
11,2.309418343305587,2.249465913772583,0.1767
