Epoch,Train_Loss,Test_Loss,Test_Accuracy
1,2.4577113157510757,2.305839624404907,0.1
2,2.24587616622448,2.3230703687667846,0.1345
3,2.1709885853528976,2.163287799358368,0.1973
4,2.1288898503780365,2.0284577322006228,0.2428
5,2.0857858264446256,1.9303966319561006,0.2883
6,2.077381563782692,1.8809790337085723,0.3005
7,2.0450107002258298,1.8492431950569153,0.3134
8,2.0098163804411886,1.8136778056621552,0.3244
9,1.9802967107295988,1.766730970144272,0.3455
10,1.9437515860795975,1.7309900784492493,0.3646
11,1.9564025637507438,1.748284032344818,0.3541
12,1.9335373732447625,1.6887317860126496,0.3798
13,1.9115438482165341,1.6712589859962463,0.3883
14,1.9148649987578392,1.6771769762039184,0.3918
15,1.9071162131428718,1.6443114614486694,0.3914
16,1.88952941685915,1.6291141629219055,0.3995
17,1.8468807497620585,1.5888864755630494,0.417
18,1.835941898226738,1.6005153226852418,0.4135
19,1.8316851139068604,1.5701387047767639,0.4231
20,1.821628995537758,1.5448374199867247,0.4329
21,1.7911738023161885,1.52338662981987,0.4386
22,1.7768759444355962,1.5074945414066314,0.4437
23,1.7759718832373614,1.4965215933322906,0.4507
24,1.759930672645569,1.4917314004898072,0.4558
25,1.759370693266392,1.4818636357784272,0.4625
26,1.7213440546393393,1.4422230482101441,0.4694
27,1.692069589793682,1.414060981273651,0.4794
28,1.692758116722107,1.3991516935825348,0.4857
29,1.6734011715650552,1.371465994119644,0.4993
30,1.6559663420915605,1.348342605829239,0.5048
31,1.6447647988796235,1.3560017824172974,0.5046
32,1.6188932725787162,1.3103178334236145,0.5216
33,1.6054569005966186,1.2930389142036438,0.5293
34,1.5831946173310276,1.27411501288414,0.5381
35,1.5786727222800252,1.2725609123706818,0.5426
36,1.5567590340971944,1.2386593914031983,0.5514
37,1.5447868919372558,1.2254950630664825,0.5572
38,1.5203576928377154,1.211854693889618,0.5659
39,1.4934437543153762,1.1951611375808715,0.5739
40,1.4888540387153624,1.1624822670221329,0.5806
41,1.4734115490317345,1.1450344401597976,0.5912
42,1.4567684438824653,1.1501537764072418,0.5901
43,1.4227526262402534,1.1046080887317657,0.6029
44,1.4273698410391806,1.1057088148593903,0.607
45,1.4400637719035148,1.1053420090675354,0.6035
46,1.392810532003641,1.0640779685974122,0.6191
47,1.3668393054604528,1.0496489077806472,0.623
48,1.3533886659145355,1.0250116872787476,0.6317
49,1.3390085956454276,1.024412761926651,0.6329
50,1.3280184051394461,1.0025946700572967,0.6435
51,1.3143599739670755,0.9875143396854401,0.6449
52,1.3141894310712816,0.9781418800354004,0.6495
53,1.273405614644289,0.9538797116279603,0.6573
54,1.2461412815749646,0.9294812250137329,0.6662
55,1.2502115513384342,0.9259615969657898,0.6668
56,1.2563359126448632,0.9105576115846634,0.6702
57,1.219789462685585,0.8965542548894883,0.6788
58,1.1948068840801715,0.8815339708328247,0.6843
59,1.1793300411105156,0.8682115131616592,0.6892
60,1.1714814887940883,0.8511335629224778,0.6955
61,1.1738034366071226,0.8416983473300934,0.6976
62,1.1519255825877193,0.8417712128162385,0.7008
63,1.1372896307706832,0.8267552989721298,0.7014
64,1.1197162298858163,0.8001198309659958,0.714
65,1.0915603436529637,0.789495849609375,0.7184
66,1.083877777606249,0.7912025636434555,0.7184
67,1.0765731225907802,0.7699246019124985,0.7254
68,1.0519185662269592,0.7603965049982071,0.7277
69,1.0484604035317897,0.7566200405359268,0.7302
70,1.0349465261399746,0.7395909976959228,0.7371
71,1.016560255885124,0.7260060667991638,0.7424
72,1.0039006803929806,0.723930134177208,0.7416
73,1.018179849088192,0.7157666626572609,0.7433
74,1.0052735494077205,0.709274886250496,0.7487
75,1.0023276744782925,0.698840506374836,0.7526
76,0.9825551675260066,0.6895676043629646,0.7565
77,0.9822474753856658,0.6926731556653977,0.7552
78,0.9694946116209031,0.682269169986248,0.7591
