epoch,train_loss,train_accuracy,test_accuracy
1,0.4560654995918275,0.27322,0.2891
2,0.3825380228042602,0.3606,0.3682
3,0.3586247166633606,0.41148,0.4222
4,0.3373428612232209,0.45666,0.461
5,0.31867462301254273,0.50246,0.5017
6,0.29996343832016,0.55374,0.5548
7,0.27702680387496936,0.59976,0.582
8,0.25890263884067544,0.64152,0.6255
9,0.23694528541564938,0.6765,0.6508
10,0.21788547160625465,0.71604,0.6836
11,0.19974858002662654,0.74346,0.7043
12,0.18170499722957617,0.77802,0.728
13,0.16514923560619338,0.8078,0.737
14,0.14907006696462632,0.8387,0.7537
15,0.1394058295607566,0.85242,0.7637
16,0.12083064687252046,0.88476,0.7657
17,0.10763672758936885,0.89648,0.7619
18,0.0962390642344952,0.91372,0.7742
19,0.083680915749073,0.9371,0.7773
20,0.07136376970708373,0.95672,0.7763
21,0.052102552342414864,0.96332,0.7751
22,0.05210214539766313,0.95816,0.7745
23,0.03044312945380807,0.97966,0.7734
24,0.022338594483584155,0.99108,0.7839
25,0.013512225555256002,0.99524,0.7841
26,0.004547382269240916,0.99812,0.7863
27,0.002344229775946587,0.99896,0.7853
28,0.0011762757079210138,0.99918,0.7844
29,0.0005857601058669388,0.9997,0.7857
30,0.029788295995723458,0.95244,0.7597
31,0.005554375636251644,0.99948,0.7813
32,0.0010961805156199256,0.99984,0.7819
33,0.00032860159766860306,0.99984,0.7827
34,0.00022908251723274586,0.99992,0.7834
35,0.00018701089295791463,0.99994,0.7838
