epoch,train_loss,train_accuracy,test_accuracy
1,0.3559266461181638,0.50786,0.5177
2,0.276473409690857,0.63664,0.6236
3,0.2255145702958108,0.7245,0.6942
4,0.1839612428998948,0.7961,0.735
5,0.14702959056258216,0.8375,0.7464
6,0.11446266069293023,0.87934,0.7471
7,0.08749352898895744,0.91158,0.7446
8,0.06196888892978426,0.93982,0.752
9,0.042156955229938044,0.95752,0.7464
10,0.02693664365395907,0.97652,0.7564
11,0.01488968811962752,0.99018,0.7613
12,0.004896133924415335,0.9977,0.7731
13,0.0013701933432277292,0.99946,0.7767
14,0.0006189627935690804,0.99974,0.7785
15,0.00044756725373677926,0.9998,0.779
16,0.00036691670210100733,0.99982,0.7787
17,0.0003138779438263736,0.99982,0.7787
18,0.00027536451545543983,0.99984,0.779
19,0.0002458269891748205,0.99984,0.7793
20,0.00022229285045759743,0.99984,0.7785
21,0.00020306238996563476,0.99984,0.7789
22,0.00018700545845553272,0.99984,0.7793
23,0.00017338306329911572,0.99984,0.779
24,0.00016166626104619338,0.99984,0.7788
25,0.00015146495879278526,0.99984,0.7791
