epoch,train_loss,train_accuracy,test_accuracy
1,0.40196731762886034,0.36704,0.37
2,0.34453465757369994,0.44666,0.4565
3,0.31130531191825866,0.49576,0.5052
4,0.2910007046699523,0.5347,0.5443
5,0.2725993598461151,0.57826,0.5766
6,0.25665760331153875,0.61086,0.6017
7,0.2399738835573197,0.64368,0.6249
8,0.22619221568107614,0.6741,0.6433
9,0.21091487157344813,0.71198,0.6591
10,0.19456685018539435,0.73436,0.6623
11,0.18175167219638827,0.78074,0.6812
12,0.16501203303337092,0.81126,0.6827
13,0.146336021566391,0.85536,0.6853
14,0.13274894218444827,0.88196,0.6897
15,0.11904674025774001,0.90778,0.6862
16,0.09478197154402733,0.9252,0.6838
17,0.07217581088542936,0.95386,0.6856
18,0.057783892932534206,0.96852,0.6853
19,0.029270395578444013,0.9889,0.6844
20,0.012077933049947025,0.99852,0.6934
21,0.004562859862297774,0.99984,0.6918
22,0.0026925675733014947,0.99996,0.6924
23,0.0018614631619304413,0.99998,0.6914
24,0.001489961058087647,0.99998,0.6918
25,0.0012584561644122011,1.0,0.6915
