Sum_aa1,Diag_aa1,FRSD_aa1,FROZEN_aa1
0.10279999673366547,0.1009,0.1009,0.1009
0.1009,0.1007,0.1009,0.1016
0.1032,0.1176,0.1069,0.1009
0.1385,0.1371,0.1332,0.1006
0.144,0.1449,0.1528,0.1011
0.1461,0.0983,0.0912,0.1049
0.1492,0.1448,0.1421,0.1046
0.1675,0.1367,0.113,0.1136
0.1985,0.146,0.1555,0.1112
0.2212,0.1336,0.1337,0.1165
0.2476,0.1445,0.044,0.1208
0.2753,0.0986,0.0982,0.1294
0.307,0.1261,0.0982,0.1343
0.3438,0.0992,0.0982,0.1401
0.3722,0.0982,0.0982,0.1382
0.3909,0.0982,0.0984,0.1488
0.4076,0.0982,0.0995,0.1453
0.4157,0.0982,0.1007,0.157
0.4208,0.0982,0.104,0.1564
0.4206,0.0982,0.1068,0.1679
0.4352,0.0982,0.1102,0.1628
0.4763,0.0982,0.1128,0.1672
0.53,0.0982,0.1151,0.1628
0.5806,0.0982,0.1188,0.1682
0.6105,0.0987,0.1226,0.167
0.6274,0.1245,0.1299,0.1724
0.6396,0.1595,0.138,0.1646
0.6472,0.1181,0.1496,0.1749
0.6523,0.1134,0.1612,0.1729
0.6597,0.1374,0.1748,0.1829
0.6687,0.1683,0.1917,0.1742
0.6775,0.193,0.2071,0.188
0.6846,0.2007,0.2244,0.1772
0.6865,0.2126,0.2429,0.1865
0.685,0.2333,0.2624,0.184
0.6835,0.245,0.2841,0.1956
0.6806,0.241,0.3083,0.1868
0.6803,0.2228,0.3252,0.1951
0.6772,0.2028,0.344,0.1889
0.6785,0.1852,0.3604,0.2022
0.6796,0.1745,0.3788,0.1932
0.6805,0.1722,0.3967,0.2074
0.6799,0.173,0.4127,0.1958
0.6784,0.1739,0.4307,0.2061
0.6765,0.1776,0.4471,0.2011
0.6724,0.1809,0.4602,0.2156
0.6713,0.1858,0.4712,0.204
0.6657,0.1922,0.4818,0.2179
0.661,0.2004,0.4899,0.2115
0.6544,0.2151,0.4983,0.2218
0.6545,0.2407,0.5068,0.2119
0.6503,0.2723,0.5173,0.2212
0.6516,0.3037,0.5251,0.2149
0.6519,0.3333,0.5319,0.2253
0.6528,0.3587,0.539,0.222
0.6541,0.3798,0.5451,0.2372
0.6552,0.3968,0.5523,0.2244
0.6562,0.4102,0.5582,0.2329
0.6576,0.423,0.5643,0.2234
0.6574,0.4315,0.5708,0.2325
0.6586,0.4387,0.5751,0.2277
0.6597,0.4447,0.5794,0.2388
0.6642,0.4519,0.5836,0.2343
0.6624,0.4588,0.5887,0.2494
0.6666,0.4682,0.5931,0.2356
0.6665,0.476,0.5973,0.2484
0.67,0.4826,0.6004,0.2406
0.6717,0.4903,0.6035,0.2541
0.675,0.4977,0.6079,0.2404
0.6773,0.5043,0.6125,0.2575
0.68,0.5109,0.6142,0.2413
0.6831,0.5176,0.617,0.2603
0.6871,0.524,0.6184,0.254
0.6879,0.5296,0.6219,0.2653
0.692,0.535,0.625,0.2495
0.6937,0.5407,0.6277,0.2622
0.6958,0.547,0.6313,0.258
0.6976,0.5535,0.6336,0.2828
0.6984,0.5592,0.6348,0.2613
0.6964,0.5665,0.6383,0.2756
0.6978,0.5726,0.6387,0.2623
0.6968,0.5775,0.64,0.2748
0.6969,0.5821,0.6418,0.265
0.6953,0.5869,0.6444,0.2857
0.6961,0.5905,0.6443,0.2764
0.6954,0.5942,0.6459,0.2875
0.6973,0.5977,0.6479,0.2752
0.6985,0.6008,0.6491,0.2831
0.7013,0.6032,0.6515,0.2791
0.701,0.6057,0.6525,0.2913
0.7034,0.6071,0.6545,0.2864
0.7024,0.6098,0.6541,0.3006
0.7048,0.6122,0.6555,0.2881
0.7032,0.6129,0.6571,0.2961
0.7048,0.6146,0.6593,0.2862
0.7032,0.6157,0.6616,0.2974
0.7075,0.6176,0.6634,0.2888
0.707,0.6197,0.6626,0.3093
0.7116,0.6215,0.6641,0.2991
0.7108,0.6233,0.6652,0.318
