Sum_aa1,Diag_aa1,FRSD_aa1,FROZEN_aa1
0.1009,0.1009,0.1009,0.1009
0.1009,0.1007,0.1009,0.1053
0.1316,0.1232,0.1095,0.1009
0.1646,0.146,0.1448,0.1009
0.1915,0.1582,0.16,0.1041
0.2429,0.2152,0.2395,0.1138
0.3552,0.3216,0.3714,0.1318
0.4523,0.4896,0.5591,0.1578
0.5032,0.591,0.6395,0.1857
0.5382,0.6274,0.6659,0.2076
0.5635,0.6324,0.6387,0.2323
0.585,0.6234,0.6307,0.2536
0.6022,0.5904,0.6496,0.2781
0.6229,0.5521,0.6487,0.2992
0.6479,0.5092,0.662,0.3361
0.6656,0.4741,0.6772,0.3739
0.6776,0.4621,0.6949,0.4161
0.6859,0.4674,0.7122,0.4407
0.6926,0.4993,0.7267,0.4627
0.6995,0.5526,0.7364,0.4724
0.7064,0.6129,0.7438,0.4935
0.7143,0.66,0.7508,0.5044
0.7225,0.6923,0.7565,0.5221
0.7304,0.7117,0.7627,0.525
0.7399,0.7224,0.7686,0.5363
0.7493,0.732,0.7727,0.5422
0.7612,0.7403,0.7772,0.5463
0.7705,0.7475,0.7797,0.552
0.7833,0.7538,0.7834,0.5628
0.7883,0.7572,0.7872,0.5641
0.792,0.7595,0.7907,0.571
0.7938,0.7583,0.7927,0.5713
0.7944,0.7587,0.7954,0.577
0.7946,0.7624,0.798,0.5821
0.7974,0.7663,0.7995,0.5887
0.7988,0.7699,0.8008,0.5913
0.8045,0.7745,0.8027,0.5998
0.8083,0.7791,0.805,0.6019
0.814,0.7825,0.8063,0.61
0.818,0.7849,0.8087,0.6114
0.8218,0.7883,0.8112,0.6189
0.8272,0.7892,0.8128,0.6194
0.8308,0.7914,0.815,0.6222
0.8344,0.7925,0.8158,0.6219
0.8386,0.7919,0.8176,0.6219
0.8429,0.7908,0.819,0.6243
0.8472,0.7902,0.8216,0.6259
0.8493,0.7894,0.8234,0.6261
0.8509,0.7901,0.8262,0.6298
0.8555,0.7908,0.829,0.6361
0.8586,0.7916,0.8312,0.6395
0.8636,0.7941,0.8338,0.6438
0.8681,0.7975,0.8356,0.6475
0.8729,0.8008,0.8382,0.6495
0.8779,0.8039,0.8398,0.652
0.8819,0.8063,0.8417,0.6516
0.8859,0.8089,0.8444,0.6514
0.8882,0.8112,0.846,0.6537
0.8918,0.8127,0.8488,0.6553
0.8946,0.8142,0.851,0.6571
0.8974,0.8152,0.8539,0.6584
0.901,0.816,0.8562,0.6603
0.9032,0.8173,0.8573,0.6617
0.9041,0.8177,0.8593,0.6624
0.9054,0.8185,0.8614,0.6656
