epoch,loss,accuracy
1,2.089455067027699,0.207
2,2.084720611572265,0.4603
3,2.0713962728326973,0.5968
4,2.05712569843639,0.6525
5,2.042839778553356,0.6856
6,2.026623431119052,0.7019
7,2.0117090572010388,0.713
8,1.995337416908958,0.7225
9,1.9782790444113987,0.7317
10,1.9633816112171518,0.7375
11,1.9480608853426844,0.7415
12,1.9375853625210846,0.7442
13,1.9232553135265003,0.7459
14,1.9090558312155985,0.7535
15,1.8984057686545628,0.7614
16,1.89264047796076,0.7666
17,1.8846372777765446,0.7705
18,1.8741812792691321,0.7765
