epoch,loss,accuracy
1,2.1149294058481853,0.109
2,2.1244132200876873,0.1104
3,2.123419284820557,0.1101
4,2.122465737660726,0.112
5,2.1222796916961673,0.1102
6,2.1222629229227703,0.1077
7,2.122452052434286,0.1064
8,2.1214173634847007,0.1064
9,2.120962921778361,0.1036
10,2.121432654062907,0.1011
11,2.1208509286244714,0.1007
12,2.120373487472534,0.0987
13,2.121365737915039,0.0977
14,2.1198279857635502,0.0973
15,2.119840447107951,0.0967
16,2.11976523399353,0.0959
17,2.119304466247559,0.0974
18,2.1189356644948325,0.0973
