p=0.97,p=0.95,p=0.93
0.10349999368190765,0.10234999656677246,0.10234999656677246
0.0982,0.0982,0.0982
0.0977,0.0978,0.0978
0.0904,0.0907,0.0907
0.0869,0.0872,0.0865
0.0868,0.0877,0.0873
0.0863,0.0864,0.0859
0.0842,0.0839,0.0839
0.0818,0.0816,0.0819
0.079,0.0792,0.0801
0.076,0.076,0.0774
0.0734,0.0744,0.076
0.0738,0.0763,0.0776
0.0736,0.0759,0.0783
0.0747,0.0776,0.0793
0.076,0.0796,0.082
0.0758,0.0808,0.0834
0.0765,0.0816,0.0851
0.0767,0.0825,0.0877
0.0784,0.0831,0.0897
0.0797,0.0852,0.091
0.0793,0.0869,0.0947
0.0797,0.0888,0.0974
0.0809,0.0905,0.1012
0.0822,0.0923,0.1047
0.0829,0.0941,0.1096
0.0836,0.097,0.1121
0.0835,0.099,0.1168
0.0846,0.1014,0.1204
0.0849,0.1042,0.1247
0.0863,0.1075,0.1278
0.0878,0.1096,0.1332
0.0905,0.1114,0.1372
0.0913,0.1138,0.1422
0.092,0.117,0.1448
0.0939,0.1209,0.1506
0.0961,0.1247,0.1553
0.0975,0.128,0.1627
0.0976,0.1306,0.1692
0.0997,0.1327,0.1739
0.1011,0.1363,0.1817
0.1028,0.1409,0.1866
0.1048,0.1444,0.1935
0.1074,0.1481,0.2007
0.1076,0.1525,0.2084
0.1104,0.157,0.213
0.112,0.1605,0.2203
0.1134,0.1654,0.2266
0.115,0.1701,0.2357
0.1172,0.1744,0.2425
0.119,0.1796,0.2493
0.12,0.1838,0.2562
0.1217,0.1901,0.2635
0.124,0.1947,0.2732
0.1262,0.2006,0.2825
0.1284,0.2063,0.2877
0.131,0.2118,0.2956
0.1333,0.2165,0.3038
0.1362,0.2213,0.3093
0.1379,0.2256,0.3171
0.1396,0.2318,0.3232
0.1413,0.2364,0.3304
0.1433,0.242,0.3379
0.1459,0.2461,0.3453
0.1481,0.2522,0.3502
0.1505,0.2575,0.3559
0.1532,0.2644,0.3628
0.155,0.2695,0.3685
0.1577,0.2755,0.3737
0.1611,0.282,0.3811
0.1634,0.2883,0.3868
0.1661,0.292,0.3911
0.1683,0.2985,0.3965
0.1715,0.3032,0.4011
0.1731,0.3106,0.4075
0.176,0.3159,0.4126
0.1786,0.3201,0.4189
0.1819,0.3259,0.4244
0.1835,0.3317,0.4299
0.1869,0.3366,0.4335
0.19,0.341,0.4395
0.1919,0.3465,0.4445
0.1939,0.3505,0.4503
0.1968,0.3544,0.4538
0.1991,0.358,0.4589
0.2014,0.3623,0.4633
0.203,0.3676,0.468
0.2061,0.3711,0.4726
0.2077,0.3748,0.4764
0.2096,0.3791,0.4802
0.2135,0.383,0.4848
0.2167,0.3886,0.4872
0.2192,0.3926,0.4905
0.2226,0.3981,0.4946
0.2257,0.4023,0.4976
0.2291,0.4056,0.4997
0.2329,0.4101,0.503
0.2357,0.4141,0.5052
0.2382,0.4187,0.5078
0.2406,0.4225,0.5116
0.2438,0.4256,0.5137
0.2451,0.4294,0.517
0.2481,0.4324,0.519
0.2503,0.436,0.522
0.2528,0.4404,0.5257
0.2556,0.4443,0.5279
0.2586,0.4469,0.5308
0.2605,0.4501,0.533
