epoch,loss,accuracy
1,2.117144168506969,0.1014
2,2.1279033834284005,0.2136
3,2.0587766473943536,0.4551
4,2.074189688942649,0.5783
5,2.060626099326394,0.6415
6,2.0386755683205346,0.6765
7,2.0262753053144973,0.6938
8,2.0121614109386097,0.7049
9,1.9945684432983397,0.7202
10,1.9800675652243875,0.7303
11,1.9632026325572622,0.7375
12,1.9492173975164242,0.7403
13,1.9351951772516423,0.7438
14,1.9218126470392398,0.7499
15,1.9075084859674625,0.7593
16,1.8959071592851118,0.766
17,1.8847001335837625,0.7709
18,1.8724534815007987,0.7775
19,1.8629347714510833,0.789
20,1.8530102816495029,0.7975
21,1.8438251321966,0.8038
